RandomState,Accuracy Training,Accuracy Validation
1,82.4074074074074,80.859375
2,83.33333333333334,80.859375
3,78.70370370370371,81.25
4,86.11111111111111,82.03125
5,87.03703703703704,81.25
6,85.18518518518519,80.859375
7,83.33333333333334,81.25
8,84.25925925925925,80.859375
9,86.11111111111111,81.25
10,86.11111111111111,82.03125
11,86.11111111111111,80.859375
12,84.25925925925925,82.03125
13,75.0,82.03125
14,83.33333333333334,81.25
15,75.92592592592592,81.25
16,78.70370370370371,81.25
17,75.92592592592592,81.640625
18,80.55555555555556,81.640625
19,84.25925925925925,81.25
20,89.81481481481481,80.46875
21,82.4074074074074,81.25
22,82.4074074074074,81.640625
23,85.18518518518519,80.859375
24,82.4074074074074,81.640625
25,81.48148148148148,82.8125
26,81.48148148148148,81.640625
27,79.62962962962963,81.25
28,81.48148148148148,82.421875
29,83.33333333333334,82.03125
30,76.85185185185185,81.640625
31,81.48148148148148,80.859375
32,84.25925925925925,81.25
33,87.03703703703704,81.640625
34,88.88888888888889,81.640625
35,81.48148148148148,82.03125
36,84.25925925925925,82.03125
37,77.77777777777779,80.859375
38,85.18518518518519,81.25
39,86.11111111111111,82.03125
40,82.4074074074074,80.859375
41,87.03703703703704,82.03125
42,80.55555555555556,81.25
43,83.33333333333334,82.03125
44,83.33333333333334,82.03125
45,87.03703703703704,81.640625
46,82.4074074074074,80.859375
47,89.81481481481481,82.03125
48,80.55555555555556,81.25
49,87.96296296296296,81.640625
50,80.55555555555556,81.640625
51,84.25925925925925,80.859375
52,85.18518518518519,81.25
53,84.25925925925925,81.25
54,80.55555555555556,81.25
55,87.96296296296296,81.640625
56,82.4074074074074,82.03125
57,81.48148148148148,81.640625
58,83.33333333333334,82.03125
59,83.33333333333334,82.421875
60,85.18518518518519,81.25
61,83.33333333333334,81.25
62,83.33333333333334,82.8125
63,83.33333333333334,82.03125
64,78.70370370370371,81.640625
65,84.25925925925925,81.25
66,83.33333333333334,81.25
67,80.55555555555556,81.25
68,80.55555555555556,82.421875
69,87.03703703703704,81.640625
70,87.96296296296296,81.640625
71,80.55555555555556,81.25
72,87.96296296296296,82.03125
73,87.96296296296296,81.25
74,79.62962962962963,82.421875
75,82.4074074074074,81.25
76,77.77777777777779,82.03125
77,84.25925925925925,82.8125
78,78.70370370370371,82.421875
79,86.11111111111111,82.03125
80,82.4074074074074,83.203125
81,85.18518518518519,82.421875
82,83.33333333333334,82.03125
83,84.25925925925925,81.640625
84,83.33333333333334,81.640625
85,80.55555555555556,81.640625
86,79.62962962962963,82.421875
87,75.92592592592592,81.640625
88,80.55555555555556,82.421875
89,87.03703703703704,82.03125
90,85.18518518518519,82.03125
91,83.33333333333334,81.640625
92,85.18518518518519,82.03125
93,81.48148148148148,82.8125
94,84.25925925925925,82.03125
95,85.18518518518519,82.421875
96,75.92592592592592,82.421875
97,86.11111111111111,80.859375
98,82.4074074074074,81.640625
99,82.4074074074074,82.421875
100,76.85185185185185,81.640625
