RandomState,Accuracy Training,Accuracy Validation
1,56.481481481481474,67.578125
2,61.111111111111114,66.40625
3,55.55555555555556,68.75
4,64.81481481481481,68.75
5,63.888888888888886,69.921875
6,64.81481481481481,68.359375
7,62.96296296296296,66.40625
8,69.44444444444444,66.40625
9,71.29629629629629,64.84375
10,66.66666666666666,65.625
11,63.888888888888886,64.453125
12,61.111111111111114,67.1875
13,62.96296296296296,67.1875
14,63.888888888888886,65.234375
15,62.03703703703704,65.234375
16,53.70370370370371,68.359375
17,56.481481481481474,68.359375
18,61.111111111111114,66.015625
19,56.481481481481474,64.84375
20,66.66666666666666,68.75
21,51.85185185185185,65.234375
22,63.888888888888886,65.234375
23,71.29629629629629,65.625
24,59.25925925925925,66.40625
25,60.18518518518518,68.75
26,56.481481481481474,67.578125
27,56.481481481481474,65.625
28,67.5925925925926,66.40625
29,60.18518518518518,66.015625
30,57.407407407407405,65.625
31,47.22222222222222,65.234375
32,65.74074074074075,65.234375
33,58.333333333333336,65.625
34,65.74074074074075,66.015625
35,60.18518518518518,67.1875
36,64.81481481481481,68.359375
37,59.25925925925925,67.96875
38,70.37037037037037,67.1875
39,65.74074074074075,66.015625
40,53.70370370370371,66.40625
41,63.888888888888886,67.96875
42,59.25925925925925,66.015625
43,60.18518518518518,67.578125
44,57.407407407407405,67.578125
45,65.74074074074075,67.578125
46,58.333333333333336,64.84375
47,65.74074074074075,67.96875
48,55.55555555555556,68.359375
49,57.407407407407405,65.625
50,56.481481481481474,67.1875
51,55.55555555555556,67.578125
52,60.18518518518518,67.96875
53,54.629629629629626,64.0625
54,60.18518518518518,66.796875
55,62.96296296296296,65.234375
56,59.25925925925925,64.453125
57,56.481481481481474,64.84375
58,63.888888888888886,64.84375
59,63.888888888888886,64.84375
60,58.333333333333336,66.015625
61,70.37037037037037,64.84375
62,62.03703703703704,66.796875
63,63.888888888888886,67.1875
64,61.111111111111114,65.234375
65,62.96296296296296,66.015625
66,55.55555555555556,65.625
67,58.333333333333336,67.96875
68,63.888888888888886,65.234375
69,55.55555555555556,64.84375
70,69.44444444444444,65.234375
71,62.96296296296296,65.625
72,62.96296296296296,67.96875
73,62.96296296296296,66.015625
74,59.25925925925925,67.1875
75,71.29629629629629,66.40625
76,58.333333333333336,64.84375
77,64.81481481481481,65.234375
78,61.111111111111114,65.625
79,59.25925925925925,65.234375
80,63.888888888888886,65.234375
81,64.81481481481481,64.84375
82,64.81481481481481,67.96875
83,66.66666666666666,67.1875
84,62.96296296296296,67.96875
85,57.407407407407405,67.578125
86,62.03703703703704,65.625
87,65.74074074074075,64.84375
88,61.111111111111114,64.84375
89,65.74074074074075,66.015625
90,61.111111111111114,68.75
91,62.96296296296296,64.84375
92,57.407407407407405,66.796875
93,61.111111111111114,66.796875
94,51.85185185185185,67.578125
95,67.5925925925926,68.359375
96,61.111111111111114,65.625
97,61.111111111111114,66.40625
98,67.5925925925926,67.578125
99,60.18518518518518,65.625
100,61.111111111111114,65.625
