RandomState,Accuracy Training,Accuracy Validation
1,82.4074074074074,81.25
2,82.4074074074074,81.640625
3,76.85185185185185,81.640625
4,86.11111111111111,80.46875
5,87.96296296296296,82.03125
6,86.11111111111111,81.25
7,83.33333333333334,82.421875
8,83.33333333333334,80.46875
9,85.18518518518519,81.640625
10,86.11111111111111,82.03125
11,84.25925925925925,81.640625
12,81.48148148148148,82.421875
13,75.0,81.640625
14,82.4074074074074,81.640625
15,77.77777777777779,82.03125
16,77.77777777777779,82.03125
17,77.77777777777779,81.640625
18,78.70370370370371,81.640625
19,81.48148148148148,81.640625
20,90.74074074074075,81.640625
21,79.62962962962963,81.25
22,83.33333333333334,81.640625
23,87.03703703703704,81.640625
24,80.55555555555556,81.640625
25,77.77777777777779,81.25
26,81.48148148148148,81.25
27,74.07407407407408,81.640625
28,80.55555555555556,81.640625
29,80.55555555555556,81.640625
30,75.92592592592592,81.25
31,82.4074074074074,81.25
32,82.4074074074074,81.640625
33,84.25925925925925,82.03125
34,89.81481481481481,82.03125
35,79.62962962962963,81.25
36,81.48148148148148,81.25
37,76.85185185185185,82.03125
38,84.25925925925925,82.03125
39,82.4074074074074,81.640625
40,80.55555555555556,80.859375
41,85.18518518518519,81.25
42,78.70370370370371,81.25
43,80.55555555555556,81.25
44,83.33333333333334,81.640625
45,86.11111111111111,81.25
46,80.55555555555556,81.25
47,87.96296296296296,81.25
48,79.62962962962963,82.03125
49,85.18518518518519,81.25
50,78.70370370370371,81.25
51,81.48148148148148,81.25
52,83.33333333333334,80.859375
53,82.4074074074074,81.25
54,78.70370370370371,81.640625
55,84.25925925925925,81.25
56,79.62962962962963,81.640625
57,79.62962962962963,80.859375
58,84.25925925925925,81.25
59,84.25925925925925,80.859375
60,84.25925925925925,81.640625
61,83.33333333333334,80.859375
62,85.18518518518519,82.03125
63,82.4074074074074,82.03125
64,80.55555555555556,81.25
65,85.18518518518519,82.421875
66,83.33333333333334,81.25
67,77.77777777777779,81.25
68,81.48148148148148,82.03125
69,81.48148148148148,81.25
70,88.88888888888889,81.25
71,80.55555555555556,81.25
72,85.18518518518519,81.25
73,87.03703703703704,82.03125
74,78.70370370370371,81.25
75,82.4074074074074,82.03125
76,77.77777777777779,81.640625
77,84.25925925925925,82.421875
78,78.70370370370371,81.640625
79,84.25925925925925,81.25
80,83.33333333333334,81.640625
81,82.4074074074074,81.640625
82,83.33333333333334,81.640625
83,86.11111111111111,82.03125
84,80.55555555555556,81.25
85,78.70370370370371,81.25
86,81.48148148148148,82.421875
87,76.85185185185185,82.421875
88,83.33333333333334,82.03125
89,86.11111111111111,81.640625
90,84.25925925925925,81.640625
91,85.18518518518519,82.03125
92,87.03703703703704,81.25
93,80.55555555555556,81.640625
94,84.25925925925925,81.25
95,86.11111111111111,82.03125
96,74.07407407407408,80.859375
97,82.4074074074074,81.640625
98,84.25925925925925,80.46875
99,84.25925925925925,81.25
100,75.0,81.640625
