;precision;recall;f1-score;support
0;0.975;0.7014388489208633;0.8158995815899581;278.0
1;0.7529761904761905;0.9806201550387597;0.8518518518518519;258.0
avg / total;0.8681303304904052;0.835820895522388;0.8332049654100487;536.0
;precision;recall;f1-score;support
0;0.975;0.7014388489208633;0.8158995815899581;278.0
1;0.7529761904761905;0.9806201550387597;0.8518518518518519;258.0
avg / total;0.8681303304904052;0.835820895522388;0.8332049654100487;536.0
;precision;recall;f1-score;support
0;0.975609756097561;0.7194244604316546;0.8281573498964804;278.0
1;0.7643504531722054;0.9806201550387597;0.8590831918505942;258.0
avg / total;0.8739215095402069;0.8451492537313433;0.8430432962102143;536.0
;precision;recall;f1-score;support
0;0.975609756097561;0.7194244604316546;0.8281573498964804;278.0
1;0.7643504531722054;0.9806201550387597;0.8590831918505942;258.0
avg / total;0.8739215095402069;0.8451492537313433;0.8430432962102143;536.0
