;precision;recall;f1-score;support
0;0.7068965517241379;0.44244604316546765;0.5442477876106195;278.0
1;0.5718232044198895;0.8023255813953488;0.667741935483871;258.0
avg / total;0.641879903208287;0.6156716417910447;0.6036908662511026;536.0
;precision;recall;f1-score;support
0;0.7068965517241379;0.44244604316546765;0.5442477876106195;278.0
1;0.5718232044198895;0.8023255813953488;0.667741935483871;258.0
avg / total;0.641879903208287;0.6156716417910447;0.6036908662511026;536.0
;precision;recall;f1-score;support
0;0.7068965517241379;0.44244604316546765;0.5442477876106195;278.0
1;0.5718232044198895;0.8023255813953488;0.667741935483871;258.0
avg / total;0.641879903208287;0.6156716417910447;0.6036908662511026;536.0
;precision;recall;f1-score;support
0;0.7068965517241379;0.44244604316546765;0.5442477876106195;278.0
1;0.5718232044198895;0.8023255813953488;0.667741935483871;258.0
avg / total;0.641879903208287;0.6156716417910447;0.6036908662511026;536.0
;precision;recall;f1-score;support
0;0.7068965517241379;0.44244604316546765;0.5442477876106195;278.0
1;0.5718232044198895;0.8023255813953488;0.667741935483871;258.0
avg / total;0.641879903208287;0.6156716417910447;0.6036908662511026;536.0
;precision;recall;f1-score;support
0;0.7068965517241379;0.44244604316546765;0.5442477876106195;278.0
1;0.5718232044198895;0.8023255813953488;0.667741935483871;258.0
avg / total;0.641879903208287;0.6156716417910447;0.6036908662511026;536.0
	precision	recall	f1-score	support
0	0.7068965517241379	0.44244604316546765	0.5442477876106195	278.0
1	0.5718232044198895	0.8023255813953488	0.667741935483871	258.0
avg / total	0.641879903208287	0.6156716417910447	0.6036908662511026	536.0
	precision	recall	f1-score	support
0	0.7068965517241379	0.44244604316546765	0.5442477876106195	278.0
1	0.5718232044198895	0.8023255813953488	0.667741935483871	258.0
avg / total	0.641879903208287	0.6156716417910447	0.6036908662511026	536.0
-precision-recall-"f1-score"-support
0-0.7068965517241379-0.44244604316546765-0.5442477876106195-278.0
1-0.5718232044198895-0.8023255813953488-0.667741935483871-258.0
avg / total-0.641879903208287-0.6156716417910447-0.6036908662511026-536.0
-precision-recall-"f1-score"-support
0-0.7068965517241379-0.44244604316546765-0.5442477876106195-278.0
1-0.5718232044198895-0.8023255813953488-0.667741935483871-258.0
avg / total-0.641879903208287-0.6156716417910447-0.6036908662511026-536.0
;precision;recall;f1-score;support
0;0.7068965517241379;0.44244604316546765;0.5442477876106195;278.0
1;0.5718232044198895;0.8023255813953488;0.667741935483871;258.0
avg / total;0.641879903208287;0.6156716417910447;0.6036908662511026;536.0
;precision;recall;f1-score;support
0;0.823943661971831;0.420863309352518;0.5571428571428572;278.0
1;0.5913705583756346;0.9031007751937985;0.7147239263803681;258.0
avg / total;0.7119961606139604;0.6529850746268657;0.6329934464400172;536.0
