RandomState,Accuracy Training,Accuracy Validation
1,85.18518518518519,85.15625
2,85.18518518518519,84.765625
3,78.70370370370371,84.765625
4,87.96296296296296,84.765625
5,89.81481481481481,84.375
6,87.03703703703704,85.15625
7,84.25925925925925,84.765625
8,87.03703703703704,84.375
9,87.03703703703704,84.375
10,87.96296296296296,85.15625
11,85.18518518518519,85.15625
12,84.25925925925925,84.375
13,76.85185185185185,84.765625
14,87.03703703703704,85.15625
15,82.4074074074074,84.765625
16,79.62962962962963,83.984375
17,80.55555555555556,85.15625
18,83.33333333333334,84.765625
19,85.18518518518519,84.765625
20,90.74074074074075,84.765625
21,81.48148148148148,84.765625
22,84.25925925925925,84.765625
23,87.03703703703704,84.375
24,85.18518518518519,84.765625
25,82.4074074074074,85.15625
26,84.25925925925925,85.15625
27,79.62962962962963,85.15625
28,84.25925925925925,84.375
29,84.25925925925925,84.765625
30,80.55555555555556,84.765625
31,85.18518518518519,85.15625
32,86.11111111111111,84.375
33,87.96296296296296,84.765625
34,89.81481481481481,85.15625
35,81.48148148148148,85.15625
36,87.03703703703704,84.765625
37,80.55555555555556,85.15625
38,88.88888888888889,83.984375
39,87.96296296296296,84.375
40,84.25925925925925,84.375
41,89.81481481481481,84.765625
42,82.4074074074074,85.15625
43,83.33333333333334,84.375
44,84.25925925925925,85.15625
45,87.96296296296296,84.765625
46,85.18518518518519,84.765625
47,90.74074074074075,84.765625
48,84.25925925925925,84.375
49,89.81481481481481,85.15625
50,83.33333333333334,85.15625
51,86.11111111111111,85.15625
52,86.11111111111111,84.375
53,85.18518518518519,84.765625
54,84.25925925925925,84.765625
55,89.81481481481481,84.765625
56,83.33333333333334,84.765625
57,82.4074074074074,84.375
58,87.03703703703704,84.765625
59,83.33333333333334,84.765625
60,87.96296296296296,84.765625
61,85.18518518518519,84.765625
62,84.25925925925925,83.984375
63,85.18518518518519,84.765625
64,81.48148148148148,84.375
65,85.18518518518519,85.15625
66,84.25925925925925,85.15625
67,83.33333333333334,85.15625
68,85.18518518518519,84.765625
69,85.18518518518519,85.15625
70,88.88888888888889,84.765625
71,84.25925925925925,84.765625
72,89.81481481481481,84.375
73,88.88888888888889,85.15625
74,83.33333333333334,85.15625
75,83.33333333333334,84.765625
76,81.48148148148148,84.375
77,84.25925925925925,85.15625
78,81.48148148148148,84.375
79,89.81481481481481,84.375
80,86.11111111111111,85.15625
81,85.18518518518519,84.375
82,86.11111111111111,85.15625
83,86.11111111111111,84.765625
84,86.11111111111111,84.765625
85,84.25925925925925,83.984375
86,83.33333333333334,84.765625
87,77.77777777777779,84.765625
88,85.18518518518519,84.765625
89,86.11111111111111,84.765625
90,87.03703703703704,84.765625
91,85.18518518518519,83.984375
92,87.96296296296296,85.15625
93,82.4074074074074,84.765625
94,84.25925925925925,84.765625
95,87.96296296296296,84.765625
96,78.70370370370371,85.15625
97,85.18518518518519,84.375
98,84.25925925925925,85.15625
99,82.4074074074074,84.765625
100,81.48148148148148,84.765625
