RandomState,Accuracy Training,Accuracy Validation
1,49.074074074074076,46.09375
2,53.70370370370371,46.09375
3,39.81481481481482,53.90625
4,50.92592592592593,46.09375
5,39.81481481481482,46.09375
6,50.92592592592593,46.09375
7,42.592592592592595,46.09375
8,49.074074074074076,46.09375
9,54.629629629629626,46.09375
10,48.148148148148145,46.09375
11,47.22222222222222,46.09375
12,50.92592592592593,46.09375
13,50.92592592592593,46.09375
14,52.77777777777778,46.09375
15,50.92592592592593,46.09375
16,47.22222222222222,46.09375
17,49.074074074074076,46.09375
18,39.81481481481482,53.90625
19,39.81481481481482,53.90625
20,54.629629629629626,46.09375
21,27.77777777777778,23.046875
22,54.629629629629626,46.09375
23,53.70370370370371,46.09375
24,49.074074074074076,46.09375
25,46.2962962962963,46.09375
26,52.77777777777778,46.09375
27,37.03703703703704,53.90625
28,46.2962962962963,46.09375
29,52.77777777777778,46.09375
30,38.88888888888889,53.90625
31,58.333333333333336,46.09375
32,51.85185185185185,46.09375
33,45.370370370370374,46.09375
34,51.85185185185185,46.09375
35,53.70370370370371,46.09375
36,50.92592592592593,46.09375
37,49.074074074074076,46.09375
38,52.77777777777778,46.09375
39,50.92592592592593,46.09375
40,55.55555555555556,46.09375
41,50.92592592592593,46.09375
42,54.629629629629626,46.09375
43,50.92592592592593,46.09375
44,54.629629629629626,46.09375
45,48.148148148148145,46.09375
46,52.77777777777778,46.09375
47,52.77777777777778,46.09375
48,45.370370370370374,46.09375
49,49.074074074074076,46.09375
50,54.629629629629626,46.09375
51,51.85185185185185,46.09375
52,47.22222222222222,46.09375
53,58.333333333333336,46.09375
54,56.481481481481474,46.09375
55,49.074074074074076,46.09375
56,56.481481481481474,46.09375
57,54.629629629629626,46.09375
58,55.55555555555556,46.09375
59,52.77777777777778,46.09375
60,50.0,46.09375
61,48.148148148148145,46.09375
62,50.92592592592593,46.09375
63,53.70370370370371,46.09375
64,58.333333333333336,46.09375
65,53.70370370370371,46.09375
66,50.92592592592593,46.09375
67,50.92592592592593,46.09375
68,51.85185185185185,46.09375
69,37.03703703703704,53.90625
70,47.22222222222222,46.09375
71,52.77777777777778,46.09375
72,57.407407407407405,46.09375
73,51.85185185185185,46.09375
74,51.85185185185185,46.09375
75,53.70370370370371,46.09375
76,37.03703703703704,53.90625
77,54.629629629629626,46.09375
78,35.18518518518518,53.90625
79,50.0,46.09375
80,54.629629629629626,46.09375
81,54.629629629629626,46.09375
82,49.074074074074076,46.09375
83,47.22222222222222,46.09375
84,55.55555555555556,46.09375
85,50.92592592592593,46.09375
86,50.92592592592593,46.09375
87,51.85185185185185,46.09375
88,53.70370370370371,46.09375
89,52.77777777777778,46.09375
90,47.22222222222222,46.09375
91,54.629629629629626,46.09375
92,50.0,46.09375
93,58.333333333333336,46.09375
94,56.481481481481474,46.09375
95,44.44444444444444,46.09375
96,56.481481481481474,46.09375
97,38.88888888888889,53.90625
98,50.0,46.09375
99,57.407407407407405,46.09375
100,57.407407407407405,46.09375
