;precision;recall;f1-score;support
0;0.3162393162393162;0.3135593220338983;0.3148936170212766;118.0
1;0.4172661870503597;0.42028985507246375;0.4187725631768953;138.0
avg / total;0.3706991137858944;0.37109375;0.37089086143328986;256.0
