;precision;recall;f1-score;support
0;0.6666666666666666;0.3898305084745763;0.4919786096256685;118.0
1;0.6149732620320856;0.8333333333333334;0.7076923076923078;138.0
avg / total;0.6388006907308378;0.62890625;0.6082617749897162;256.0
;precision;recall;f1-score;support
0;0.6590909090909091;0.4915254237288136;0.5631067961165048;118.0
1;0.6428571428571429;0.782608695652174;0.7058823529411765;138.0
avg / total;0.6503398944805194;0.6484375;0.6400717447173044;256.0
;precision;recall;f1-score;support
0;0.6767676767676768;0.5677966101694916;0.6175115207373273;118.0
1;0.6751592356687898;0.7681159420289855;0.71864406779661;138.0
avg / total;0.675900626487808;0.67578125;0.672028284386472;256.0
;precision;recall;f1-score;support
0;0.6629213483146067;0.5;0.5700483091787439;118.0
1;0.6467065868263473;0.782608695652174;0.7081967213114754;138.0
avg / total;0.6541805784498419;0.65234375;0.6445189375940445;256.0
;precision;recall;f1-score;support
0;0.6629213483146067;0.5;0.5700483091787439;118.0
1;0.6467065868263473;0.782608695652174;0.7081967213114754;138.0
avg / total;0.6541805784498419;0.65234375;0.6445189375940445;256.0
;precision;recall;f1-score;support
0;0.6666666666666666;0.3898305084745763;0.4919786096256685;118.0
1;0.6149732620320856;0.8333333333333334;0.7076923076923078;138.0
avg / total;0.6388006907308378;0.62890625;0.6082617749897162;256.0
