;precision;recall;f1-score;support
0;0.6629213483146067;0.5;0.5700483091787439;118.0
1;0.6467065868263473;0.782608695652174;0.7081967213114754;138.0
avg / total;0.6541805784498419;0.65234375;0.6445189375940445;256.0
