;precision;recall;f1-score;support
0;0.8695652173913043;0.6779661016949152;0.7619047619047619;118.0
1;0.7682926829268293;0.9130434782608695;0.8344370860927153;138.0
avg / total;0.8149729917815483;0.8046875;0.8010042179123305;256.0
