;precision;recall;f1-score;support
0;0.9069767441860465;0.6610169491525424;0.7647058823529412;118.0
1;0.7647058823529411;0.9420289855072463;0.8441558441558441;138.0
avg / total;0.830283857729138;0.8125;0.8075343773873186;256.0
;precision;recall;f1-score;support
0;0.9523809523809523;0.6779661016949152;0.7920792079207921;118.0
1;0.7790697674418605;0.9710144927536232;0.8645161290322582;138.0
avg / total;0.8589553917497232;0.8359375;0.8311272357074417;256.0
;precision;recall;f1-score;support
0;0.9876543209876543;0.6779661016949152;0.8040201005025125;118.0
1;0.7828571428571428;0.9927536231884058;0.875399361022364;138.0
avg / total;0.8772558421516754;0.84765625;0.8424979831264949;256.0
;precision;recall;f1-score;support
0;0.9069767441860465;0.6610169491525424;0.7647058823529412;118.0
1;0.7647058823529411;0.9420289855072463;0.8441558441558441;138.0
avg / total;0.830283857729138;0.8125;0.8075343773873186;256.0
;precision;recall;f1-score;support
0;0.9069767441860465;0.6610169491525424;0.7647058823529412;118.0
1;0.7647058823529411;0.9420289855072463;0.8441558441558441;138.0
avg / total;0.830283857729138;0.8125;0.8075343773873186;256.0
;precision;recall;f1-score;support
0;0.9069767441860465;0.6610169491525424;0.7647058823529412;118.0
1;0.7647058823529411;0.9420289855072463;0.8441558441558441;138.0
avg / total;0.830283857729138;0.8125;0.8075343773873186;256.0
