;precision;recall;f1-score;support
0;0.9166666666666666;0.652542372881356;0.7623762376237624;118.0
1;0.7616279069767442;0.9492753623188406;0.8451612903225807;138.0
avg / total;0.8330910852713178;0.8125;0.8070025550942191;256.0
;precision;recall;f1-score;support
0;0.9230769230769231;0.6101694915254238;0.7346938775510206;118.0
1;0.7415730337078652;0.9565217391304348;0.8354430379746837;138.0
avg / total;0.8252349827139154;0.796875;0.7890039718419014;256.0
;precision;recall;f1-score;support
0;0.9876543209876543;0.6779661016949152;0.8040201005025125;118.0
1;0.7828571428571428;0.9927536231884058;0.875399361022364;138.0
avg / total;0.8772558421516754;0.84765625;0.8424979831264949;256.0
;precision;recall;f1-score;support
0;0.9166666666666666;0.652542372881356;0.7623762376237624;118.0
1;0.7616279069767442;0.9492753623188406;0.8451612903225807;138.0
avg / total;0.8330910852713178;0.8125;0.8070025550942191;256.0
;precision;recall;f1-score;support
0;0.9166666666666666;0.652542372881356;0.7623762376237624;118.0
1;0.7616279069767442;0.9492753623188406;0.8451612903225807;138.0
avg / total;0.8330910852713178;0.8125;0.8070025550942191;256.0
;precision;recall;f1-score;support
0;0.9166666666666666;0.652542372881356;0.7623762376237624;118.0
1;0.7616279069767442;0.9492753623188406;0.8451612903225807;138.0
avg / total;0.8330910852713178;0.8125;0.8070025550942191;256.0
